rtime,src,dst,sp,dp,size,tag
14303,51,53,13831,50159,2007108,20
14320,53,51,13831,50159,1603978,20
14334,52,51,13831,50159,1201340,20
14352,53,52,13831,50159,1586371,20
14367,51,53,13831,50159,2018654,20
14389,51,53,13831,50159,2008184,20
14421,53,51,13831,50159,1599818,20
14430,51,53,13831,50159,2012241,20
14439,53,51,13831,50159,1601898,20
14450,51,52,13831,50159,2016632,20
14455,52,53,13831,50159,1201668,20
14457,52,51,13831,50159,1197621,20
14463,53,51,13831,50159,1596817,20
14471,53,52,13831,50159,1592668,20
14504,52,51,13831,50159,1197105,20
14505,53,52,13831,50159,1598154,20
14527,52,51,13831,50159,1194782,20
14529,53,52,13831,50159,1600407,20
14550,51,52,13831,50159,2018175,20
14564,52,53,13831,50159,1204127,20
14575,51,52,13831,50159,2014328,20
14594,51,52,13831,50159,2012785,20
14596,52,53,13831,50159,1194424,20
14612,52,53,13831,50159,1202253,20
15475,41,43,39443,59575,3705925,15
15506,41,42,39443,59575,3713613,15
15508,43,42,39443,59575,3297496,15
15520,43,41,39443,59575,3291132,15
15529,41,43,39443,59575,3712746,15
15556,42,41,39443,59575,2876672,15
15568,43,41,39443,59575,3285513,15
15569,42,43,39443,59575,2868557,15
15575,41,43,39443,59575,3701564,15
15599,43,42,39443,59575,3293122,15
15616,41,42,39443,59575,3703132,15
15625,43,41,39443,59575,3294557,15
15629,42,41,39443,59575,2877171,15
15634,42,43,39443,59575,2868426,15
15653,41,43,39443,59575,3699294,15
15670,42,43,39443,59575,2874714,15
15672,43,41,39443,59575,3299562,15
15682,41,42,39443,59575,3707198,15
15707,42,41,39443,59575,2871600,15
15724,42,43,39443,59575,2877813,15
15725,43,42,39443,59575,3294508,15
15772,42,41,39443,59575,2873745,15
15777,43,42,39443,59575,3303224,15
15949,41,42,39443,59575,3704639,15
16023,31,32,20570,62526,3710272,10
16027,31,33,20570,62526,3718708,10
16052,33,32,20570,62526,3296084,10
16086,31,32,20570,62526,3713738,10
16131,32,31,20570,62526,2877171,10
16143,31,32,20570,62526,3714415,10
16163,32,33,20570,62526,2877813,10
16175,32,31,20570,62526,2871600,10
16191,51,53,13831,50159,2019509,20
16192,31,33,20570,62526,3723366,10
16195,52,53,13831,50159,1197022,20
16197,31,32,20570,62526,3719395,10
16214,32,31,20570,62526,2873745,10
16224,33,31,20570,62526,3284048,10
16225,51,53,13831,50159,2016120,20
16227,52,53,13831,50159,1199610,20
16246,31,33,20570,62526,3709979,10
16264,51,53,13831,50159,2009974,20
16266,32,31,20570,62526,2876672,10
16286,51,53,13831,50159,2005459,20
16291,52,53,13831,50159,1196451,20
16298,33,32,20570,62526,3288397,10
16303,31,33,20570,62526,3713056,10
16311,32,33,20570,62526,2874714,10
16312,33,31,20570,62526,3288370,10
16322,52,53,13831,50159,1197511,20
16369,33,32,20570,62526,3287291,10
16373,33,31,20570,62526,3288351,10
16377,32,33,20570,62526,2868557,10
16408,32,33,20570,62526,2868426,10
16422,33,31,20570,62526,3279545,10
16440,33,32,20570,62526,3287340,10
16540,53,51,13831,50159,1594271,20
16541,52,51,13831,50159,1196830,20
16578,52,51,13831,50159,1192862,20
16601,53,51,13831,50159,1594762,20
16641,53,51,13831,50159,1596169,20
16877,52,51,13831,50159,1204396,20
16888,53,51,13831,50159,1602969,20
16895,52,51,13831,50159,1195220,20
17099,51,52,13831,50159,2013107,20
17101,53,52,13831,50159,1602598,20
17215,53,52,13831,50159,1597447,20
17223,51,52,13831,50159,2021066,20
17270,53,52,13831,50159,1597365,20
17294,53,52,13831,50159,1596143,20
17411,52,53,13831,50159,1198876,20
17428,51,53,13831,50159,2006814,20
17467,51,52,13831,50159,2020777,20
17473,52,53,13831,50159,1196908,20
17484,51,53,13831,50159,2010476,20
17501,51,52,13831,50159,2016752,20
17525,51,53,13831,50159,2011927,20
17535,52,53,13831,50159,1201681,20
17762,51,53,13831,50159,2013455,20
17825,52,53,13831,50159,1189495,20
17935,52,51,13831,50159,1198224,20
17936,53,51,13831,50159,1606089,20
17986,53,51,13831,50159,1601090,20
17986,52,51,13831,50159,1187952,20
18115,52,51,13831,50159,1197605,20
18218,52,51,13831,50159,1200614,20
18357,21,23,43114,10902,6743501,5
18396,23,21,43114,10902,6712239,5
18406,22,23,43114,10902,6732280,5
18448,21,22,43114,10902,6763121,5
18471,22,21,43114,10902,6732995,5
18498,53,51,13831,50159,1602262,20
18510,23,21,43114,10902,6708929,5
18514,53,51,13831,50159,1601662,20
18530,22,23,43114,10902,6707144,5
18542,42,43,39443,59575,2868655,15
18545,41,43,39443,59575,3708266,15
18551,21,22,43114,10902,6780767,5
18573,23,22,43114,10902,6706368,5
18587,41,42,39443,59575,3716070,15
18590,21,23,43114,10902,6768927,5
18593,43,42,39443,59575,3282282,15
18597,23,21,43114,10902,6727563,5
18625,22,23,43114,10902,6728569,5
18630,41,43,39443,59575,3703498,15
18659,21,22,43114,10902,6753037,5
18671,41,43,39443,59575,3690923,15
18673,51,53,13831,50159,2005196,20
18677,42,43,39443,59575,2869841,15
18681,23,21,43114,10902,6714030,5
18689,41,42,39443,59575,3696612,15
18693,51,53,13831,50159,2011116,20
18694,43,42,39443,59575,3316735,15
18700,52,53,13831,50159,1194751,20
18714,51,53,13831,50159,2012870,20
18721,22,23,43114,10902,6743770,5
18730,41,43,39443,59575,3703981,15
18750,43,41,39443,59575,3302468,15
18751,52,53,13831,50159,1198294,20
18754,51,53,13831,50159,2003922,20
18755,22,21,43114,10902,6723847,5
18783,52,53,13831,50159,1191343,20
18798,23,22,43114,10902,6725080,5
18802,21,23,43114,10902,6753701,5
18807,52,53,13831,50159,1189975,20
18838,21,22,43114,10902,6758129,5
18861,32,31,20570,62526,2868655,10
18883,21,23,43114,10902,6752673,5
18898,22,21,43114,10902,6736126,5
18903,23,22,43114,10902,6701540,5
18911,32,31,20570,62526,2879875,10
18917,33,31,20570,62526,3286929,10
18967,42,41,39443,59575,2865960,15
18967,32,31,20570,62526,2875259,10
18981,22,21,43114,10902,6723296,5
18987,23,22,43114,10902,6727512,5
18989,41,42,39443,59575,3704071,15
19028,31,33,20570,62526,3716054,10
19028,32,31,20570,62526,2867826,10
19033,32,33,20570,62526,2869841,10
19053,53,52,13831,50159,1599392,20
19058,42,43,39443,59575,2867826,15
19088,43,42,39443,59575,3297667,15
19095,32,33,20570,62526,2871394,10
19097,53,52,13831,50159,1606651,20
19102,42,43,39443,59575,2871394,15
19113,31,33,20570,62526,3717122,10
19126,43,42,39443,59575,3302431,15
19156,32,33,20570,62526,2875562,10
19159,53,52,13831,50159,1607517,20
19179,51,52,13831,50159,2014838,20
19181,31,33,20570,62526,3718817,10
19207,43,41,39443,59575,3290665,15
19207,51,52,13831,50159,2013536,20
19214,53,52,13831,50159,1600165,20
19216,42,41,39443,59575,2877778,15
